"Code (don't change these)","English","Khasi","Hindi",
start, "Symbai"
next, "Next"
yes, "Yes"
no, "No"
dwta, "DWTA"
not-set, "Not set"
years-old, " years old"
birth-year, "Birth year/Age"
agree-record, "Record"
agree-playback, "Play"
photo-agree-record, "Record"
photo-agree-playback, "Play"
general-agreement-text, "General agreement text here..."
photo-agreement-text, "Photo agreement text here..."
household-agreement-text, "Household agreement text here..."
locality, "Locality"
num-adults, "Total adults"
num-male-adults, "Male adults"
num-female-adults, "Female adults"
num-children, "Total children"
num-male-children, "Male children"
num-female-children, "Female children"
mother-name, "Mother name"
father-name, "Father name"
mother-alive, "Alive"
father-alive, "Alive"
spouse-name, "Spouse name"
spouse-gender, "Spouse gender"
village-notes, "Notes"
individual-notes, "Notes"
household-notes, "Notes"
crop-notes, "Notes"
child-notes, "Notes"
details-next, "Next"
family-next, "Next"
migration-next, "Next"
income-next, "Next"
gene-next, "Next"
social-next, "Next"
friendship-next, "Next"
agreement-next, "Next"
gps-are-you-sure, "Are you sure you want to record your current position?"
gps-are-you-sure-2, "Please confirm again..."
current-village, "Your current village"
occupation-agriculture, "Agriculture"
occupation-gathering, "Gathering"
occupation-labour, "Daily wage labour"
occupation-cows, "Cows"
occupation-fishing, "Fishing"
occupation-other, "Other"
friendship-question, "LIST UP TO FIVE PERSONS whom you have really liked to talk to in the last year. They can be of either sex. They can be friend, neighbours, relatives, co-wives; they can live in this village or elsewhere; anyone you like to talk to.", ""
prestige-question, "LIST UP TO FIVE PERSONS who you think are the most respected in the village:"
knowledge-question, "LIST UP TO FIVE PERSONS who you think are the most knowledgeable in the village:"
local-dialect, "Local dialects spoken"
market-frequency, "Frequency of tribal market (per week)"
crop-prices, "Price of crops grown per unit"
game-played, "Game played?"
game-id, "Game ID"
game-date, "Game date"
ever-married, "Ever married?"
since-birth, "Since birth"
length-time-desc, "Length of time lived in this village"
length-time, "Length of time lived in this village (years)", ""
residences, "Names of different places lived since birth"
income-notes, "Income notes"
crop-produced, "Quantity produced"
crop-given, "Given to others"
social-answered, "Answer supplied?"
friendship-answered, "Answer supplied?"
chooser-no-selection, "Clear"
